PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
90319,2021-02-02,02079K30,GOOGL,45483,,1919.12000,3306578,0.013761,300737
90319,2021-02-03,02079K30,GOOGL,45483,,2058.87988,4867936,0.072825,300737
90319,2021-02-04,02079K30,GOOGL,45483,,2053.62988,2423419,-0.002550,300737
90319,2021-02-05,02079K30,GOOGL,45483,,2088.83008,1485947,0.017140,300737
90319,2021-02-08,02079K30,GOOGL,45483,,2084.52002,1437946,-0.002063,300737
90319,2021-02-09,02079K30,GOOGL,45483,,2075.38989,1089467,-0.004380,300737
90319,2021-02-10,02079K30,GOOGL,45483,,2086.47998,1247270,0.005344,300737
90319,2021-02-11,02079K30,GOOGL,45483,,2088.75000,1017536,0.001088,300737
90319,2021-02-12,02079K30,GOOGL,45483,,2095.03003,946968,0.003007,300737
90319,2021-02-16,02079K30,GOOGL,45483,,2110.69995,1543259,0.007480,300737
90319,2021-02-17,02079K30,GOOGL,45483,,2118.62012,1014049,0.003752,300737
90319,2021-02-18,02079K30,GOOGL,45483,,2105.81006,1132616,-0.006046,300737
90319,2021-02-19,02079K30,GOOGL,45483,,2088.81006,1883773,-0.008073,300737
90319,2021-02-22,02079K30,GOOGL,45483,,2054.26001,1464061,-0.016541,300737
90319,2021-02-23,02079K30,GOOGL,45483,,2060.12012,1724599,0.002853,300737
90319,2021-02-24,02079K30,GOOGL,45483,,2083.81006,1124278,0.011499,300737
90319,2021-02-25,02079K30,GOOGL,45483,,2015.94995,2066692,-0.032565,300737
90319,2021-02-26,02079K30,GOOGL,45483,,2021.91003,1991418,0.002956,300737
90319,2021-03-01,02079K30,GOOGL,45483,,2069.65991,1297626,0.023616,300737
90319,2021-03-02,02079K30,GOOGL,45483,,2064.47998,1272141,-0.002503,300737
90319,2021-03-03,02079K30,GOOGL,45483,,2011.41003,1684672,-0.025706,300737
90319,2021-03-04,02079K30,GOOGL,45483,,2033.93005,2443601,0.011196,300737
90319,2021-03-05,02079K30,GOOGL,45483,,2097.07007,2632700,0.031043,300737
90319,2021-03-08,02079K30,GOOGL,45483,,2007.50000,1835973,-0.042712,300737
90319,2021-03-09,02079K30,GOOGL,45483,,2040.35999,1688278,0.016369,300737
90319,2021-03-10,02079K30,GOOGL,45483,,2036.18994,1345682,-0.002044,300737
90319,2021-03-11,02079K30,GOOGL,45483,,2100.54004,1375667,0.031603,300737
90319,2021-03-12,02079K30,GOOGL,45483,,2050.00000,1684400,-0.024060,300737
90319,2021-03-15,02079K30,GOOGL,45483,,2054.43994,1303981,0.002166,300737
90319,2021-03-16,02079K30,GOOGL,45483,,2083.88989,1586093,0.014335,300737
90319,2021-03-17,02079K30,GOOGL,45483,,2082.21997,1308496,-0.000801,300737
